source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Bureau,Emerging tech redefining what it takes to scale globally,"Innovative global brands are on the rise, merging cutting-edge tech with reliability and a wealth of industry expertise. Utilizing AI and blockchain technologies, businesses are streamlining intricate fields such as finance and real estate. Emerging markets a…",https://economictimes.indiatimes.com/news/company/corporate-trends/emerging-tech-redefining-what-it-takes-to-scale-globally/articleshow/128355568.cms,"https://img.etimg.com/thumb/msid-128355738,width-1200,height-630,imgsize-351991,overlay-economictimes/articleshow.jpg",2026-02-14T17:30:00Z,"The race to build the world's next breakout brands is increasingly being shaped by how companies combine technology with trust, industry depth, and sustainability. In a panel discussion at the ET Now… [+6081 chars]"
"{'id': None, 'name': 'GlobeNewswire'}",Bitstarz,Free Spins No Deposit Bonus Casinos 2026 | Bitstarz Launches 50 Free Spins No Deposit Bonus with Real Money Wins,"New York City, NY, Feb. 14, 2026 (GLOBE NEWSWIRE) --  Are you tired of no deposit bonus casinos that come with confusing wagering rules, tiny cashout limits on free spin wins, and slow payouts? BitStarz takes a different approach; it gives new players 50 free…",https://www.globenewswire.com/news-release/2026/02/14/3238426/0/en/Free-Spins-No-Deposit-Bonus-Casinos-2026-Bitstarz-Launches-50-Free-Spins-No-Deposit-Bonus-with-Real-Money-Wins.html,,2026-02-14T17:21:00Z,"New York City, NY, Feb. 14, 2026 (GLOBE NEWSWIRE) -- 
 Are you tired of no deposit bonus casinos that come with confusing wagering rules, tiny cashout limits on free spin wins, and slow payouts? Bit… [+14405 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",,"San Francisco residents band together to shut down reparations fund, claiming it’s ‘dividing’ the city","San Francisco faced a lawsuit over reparations fund that allegedly discriminates based on race, with Pacific Legal Foundation challenging the ordinance for Black residents.",https://www.foxnews.com/media/san-francisco-residents-band-together-shut-down-reparations-fund-claiming-its-dividing-city,https://static.foxnews.com/foxnews.com/content/uploads/2024/04/Reparations-protest.jpg,2026-02-14T17:00:48Z,"Richie Greenberg, one of the plaintiffs suing San Francisco over its reparations fund, claimed that the measure is divisive because it solely favors Black residents.
""It is dividing the city rather … [+4637 chars]"
"{'id': None, 'name': ""Tom's Hardware UK""}","editors@tomshardware.com (Hassam Nasir) , Hassam Nasir","Sony-led program offers PS5 rentals starting at $13.50 a month in the UK across 12, 24, or 36-month leases — console has to be returned at the end of the contract","Sony is offering PlayStation 5 hardware for rent to customers in the UK. The selection includes PS5 consoles, controllers, PSVR 2, and even the PlayStation Portal. The cheapest offer starts from £9.50 per month for a base PS5 Slim, with leases for 12, 24, or …",https://www.tomshardware.com/video-games/playstation/sony-led-program-offers-ps5-rentals-starting-at-usd13-50-a-month-in-the-uk-across-12-24-or-36-month-leases-console-has-to-be-returned-at-the-end-of-the-contract,https://cdn.mos.cms.futurecdn.net/MjcZuEfPQrcKamX4D4pHuc-1920-80.png,2026-02-14T16:08:01Z,"Play Has No Limits — except if you're trying to buy a console. Amidst the dire wastelands of the tech industry, Sony has decided that enjoying its PlayStation 5 console should remain its top priority… [+3613 chars]"
"{'id': None, 'name': 'CoinDesk'}","Will Canny, AI Boost",Galaxy’s Steve Kurz sees ‘great convergence’ driving crypto’s long-term outlook,"The firm's asset-management chief says the recent crypto selloff reflects healthy deleveraging, while infrastructure growth and institutional adoption support a bullish outlook.",https://www.coindesk.com/business/2026/02/14/galaxy-s-steve-kurz-sees-great-convergence-driving-crypto-s-long-term-outlook,https://cdn.sanity.io/images/s3y3vcno/production/964255b8a83143c61904ae65cefcca0d1f38c095-1920x1080.jpg?auto=format,2026-02-14T16:00:00Z,"Crypto is no longer just an asset class, it is also an ever-more critical part of financial infrastructure, says Steve Kurz, Galaxy Digital's (GLXY) global head of asset management and co-head of dig… [+7875 chars]"
"{'id': None, 'name': 'BusinessLine'}",BL Bengaluru Bureau,"PhonePe sharpens lending, insurance play ahead of IPO as segment drives growth","Revenue from the lending and insurance distribution segment surges from ₹28.05 crore in FY23 to ₹557.65 crore in FY25, clocking a CAGR of over 345%",https://www.thehindubusinessline.com/money-and-banking/phonepe-sharpens-lending-insurance-play-ahead-of-ipo-as-segment-drives-growth/article70632814.ece,https://bl-i.thgim.com/public/incoming/kfl6hp/article70632876.ece/alternates/LANDSCAPE_1200/330268274_0-17.jpg,2026-02-14T15:14:47Z,"Walmart-backed fintech major PhonePe is sharpening its financial services play ahead of its proposed public listing, as lending and insurance distribution emerge as key growth drivers beyond its core… [+1700 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",,"Popular cruise company abruptly shuts down, disrupting upcoming vacations","A beloved cruise ship company abruptly closed after 15 years, shocking customers. Vacation plans have been disrupted. Passengers will receive refunds, the cruise line said.",https://www.foxnews.com/travel/popular-cruise-company-abruptly-shuts-down-disrupting-upcoming-vacations,https://static.foxnews.com/foxnews.com/content/uploads/2026/02/alaskan-dreamscruises-shutters.jpg,2026-02-14T15:00:51Z,"A beloved cruise line has abruptly shut down and canceled all future bookings.
Alaskan Dream Cruises announced Feb. 4 that it would halt all operations disrupting upcoming vacation plans.
The small… [+3858 chars]"
"{'id': None, 'name': 'BusinessLine'}",BL New Delhi Bureau,Centre launches ‘PM RAHAT’ scheme,"The Centre's PM RAHAT scheme offers cashless emergency treatment for road accident victims, ensuring timely medical assistance and improved survival rates.",https://www.thehindubusinessline.com/economy/logistics/centre-launches-pm-rahat-scheme/article70632657.ece,https://bl-i.thgim.com/public/incoming/rng4sp/article70632745.ece/alternates/LANDSCAPE_1200/20260213207L.jpg,2026-02-14T14:45:02Z,"The Centre has launched the PM RAHAT (Road Accident Victim Hospitalisation and Assured Treatment) scheme, aimed at providing cashless emergency care to road accident victims and improving survival du… [+2453 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ANI,Kerala to launch India's first graphene policy to become global tech hub,"As the first step, the Union Cabinet has approved the Grefine Park. Kerala Industries Minister P Rajeev outlined a series of strategic incentives to attract both domestic and global investors, including a 50% subsidy on lease payments for manufacturing units …",https://economictimes.indiatimes.com/tech/technology/kerala-to-launch-indias-first-graphene-policy-to-become-global-tech-hub/articleshow/128350975.cms,"https://img.etimg.com/thumb/width-1200,height-900,imgsize-36344,resizemode-75,msid-128350975/tech/technology/kerala-to-launch-indias-first-graphene-policy-to-become-global-tech-hub.jpg",2026-02-14T14:33:32Z,"Kerala has taken a significant step by approving India's first comprehensive graphene policy, hailed as the wonder material of the future, aiming to position itself as a global hub for research, deve… [+2501 chars]"
"{'id': None, 'name': 'Business Standard'}",ANI,Kerala to launch India's first graphene policy to become global tech hub,"State unveils incentives, ₹200 cr innovation hub to attract investors",https://www.business-standard.com/india-news/kerala-to-launch-india-s-first-graphene-policy-to-become-global-tech-hub-126021401184_1.html,https://bsmedia.business-standard.com/_media/bs/img/article/2025-10/08/thumb/fitandfill/1200X630/1759947736-4758.jpg,2026-02-14T13:18:52Z,"Kerala has taken a significant step by approving India's first comprehensive graphene policy, hailed as the wonder material of the future, aiming to position itself as a global hub for research, deve… [+2672 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",Abdul Rahman,"XPeng (XPEV) Draws Mixed Analyst Calls, Expands Global Payments","XPeng Inc. (NYSE:XPEV) is one of the best foreign stocks to buy right now. On February 9, XPeng Inc. (NYSE:XPEV) announced a global collaboration with Ant...",https://finance.yahoo.com/news/xpeng-xpev-draws-mixed-analyst-131720412.html,https://s.yimg.com/os/en/insidermonkey.com/5c9070a2bf6cf8e09b2f0cdf2ebd31e3,2026-02-14T13:17:20Z,"XPeng Inc. (NYSE:XPEV) is one of the best foreign stocks to buy right now. On February 9, XPeng Inc. (NYSE:XPEV) announced a global collaboration with Ant Internationals Antom payment platform. The g… [+1976 chars]"
"{'id': None, 'name': 'BusinessLine'}",ANI,Kerala to launch India's first graphene policy to become global tech hub,"Kerala is working on a series of incentives to attract domestic and global investors, including a 50% subsidy on lease payments for manufacturing units established in government-managed parks",https://www.thehindubusinessline.com/news/national/kerala-to-launch-indias-first-graphene-policy-to-become-global-tech-hub/article70632140.ece,https://bl-i.thgim.com/public/incoming/2sluwt/article70632242.ece/alternates/LANDSCAPE_1200/P_Rajeeve_Minister_of_Industries_Kerala.jpg,2026-02-14T12:58:38Z,"Kerala has taken a significant step by approving India's first comprehensive graphene policy, hailed as the wonder material of the future, aiming to position itself as a global hub for research, deve… [+2547 chars]"
"{'id': None, 'name': '24/7 Wall St.'}",Joel South,Accenture’s Dividend Won’t Wow You – But Maybe It Should,"Accenture just paid shareholders $1.63 per share on February 13, 2026, marking the latest installment in a 20+ year streak of consecutive annual dividend...",https://247wallst.com/investing/2026/02/14/accentures-dividend-wont-wow-you-but-maybe-it-should/,https://s.yimg.com/ny/api/res/1.2/8.BUU_VvIvEEJpeL6bEmfg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD01NzQ-/https://media.zenfs.com/en/24_7_wall_st__718/81149457a177faba6d598b5c050d2b5b,2026-02-14T12:01:53Z,"<ul><li>Accenture (ACN) raised its quarterly dividend 10.1% to $1.63 per share. The stock declined 41% over the past year.
</li><li>Accentures fiscal 2026 revenue guidance of 2-5% growth signals dec… [+8187 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",,"Free Buses, Real Costs. Inside Mamdani’s Socialist Dream to Shakeup Transit for New Yorkers","Mayor Zohran Mamdani's ambitious ""fast and free buses"" promise faces reality as New York City weighs eliminating fares to boost ridership amid funding concerns.",https://www.foxnews.com/media/free-buses-real-costs-inside-mamdanis-socialist-dream-shakeup-transit-new-yorkers,https://static.foxnews.com/foxnews.com/content/uploads/2026/02/zohran-mamdani-free-bus.png,2026-02-14T12:00:17Z,"New York City Mayor Zohran Mamdani has made ""fast and free buses"" a defining promise of his administration, framing the proposal as both an affordability measure and a long-overdue fix for a bus syst… [+9769 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,"SEBI, NSDL Launch Auto Rickshaw Awareness Drive to Promote Investor Verification",SEBI and NSDL are using auto-rickshaws across India for a public outreach campaign. This initiative aims to boost investor awareness and combat digital payment fraud. The campaign encourages investors to perform a 'SEBI Check' before making payments in the se…,https://economictimes.indiatimes.com/markets/stocks/news/sebi-nsdl-launch-auto-rickshaw-awareness-drive-to-promote-investor-verification/articleshow/128344144.cms,"https://img.etimg.com/thumb/msid-128344177,width-1200,height-630,imgsize-33312,overlay-etmarkets/articleshow.jpg",2026-02-14T10:39:47Z,"In a bid to strengthen investor awareness and reduce instances of digital payment-related fraud, the Securities and Exchange Board of India (SEBI), in collaboration with the National Securities Depos… [+1920 chars]"
"{'id': None, 'name': 'Yugatech.com'}",Joaquin Segovia,How new BSP rules are reshaping digital banking in the Philippines,"The way Filipinos move money between banks and e‑wallets is quietly undergoing its biggest policy shake‑up since InstaPay and PESONet...
The post How new BSP rules are reshaping digital banking in the Philippines appeared first on YugaTech | Philippines Tech …",https://www.yugatech.com/fintech/how-new-bsp-rules-are-reshaping-digital-banking-in-the-philippines/,https://www.yugatech.com/wp-content/uploads/2026/02/Linked-Bank-Accounts.png,2026-02-14T10:27:47Z,The way Filipinos move money between banks and ewallets is quietly undergoing its biggest policy shakeup since InstaPay and PESONet launched. New rules from the Bangko Sentral ng Pilipinas (BSP) and … [+3371 chars]
"{'id': None, 'name': 'Yugatech.com'}",Joaquin Segovia,GoTyme Bank Ends Linked Bank Cash‑Ins Under New BSP Rules,"GoTyme Bank permanently discontinued its popular “cash‑in via linked bank account” feature, ending a convenience tool that allowed users to...
The post GoTyme Bank Ends Linked Bank Cash‑Ins Under New BSP Rules appeared first on YugaTech | Philippines Tech New…",https://www.yugatech.com/news/gotyme-bank-ends-linked-bank-cash-ins-under-new-bsp-rules/,https://www.yugatech.com/wp-content/uploads/2026/02/GoTyme-Online-Bank-Transfer-1.png,2026-02-14T09:23:21Z,"GoTyme Bank permanently discontinued its popular cashin via linked bank account feature, ending a convenience tool that allowed users to deposit directly from BPI, UnionBank, Chinabank, and RCBC acco… [+2129 chars]"
"{'id': None, 'name': 'Antaranews.com'}",PR Wire,Wonder Raises USD 12 Million Venture Debt from HSBC Innovation Banking to Drive Growth and Expansion,"Wonder, a leading fintech and payments platform for merchants in Hong Kong and Asia Pacific, today announced it has raised a USD 12 million venture debt from ...",https://en.antaranews.com/news/404554/wonder-raises-usd-12-million-venture-debt-from-hsbc-innovation-banking-to-drive-growth-and-expansion,https://cdn.antaranews.com/cache/1200x800/2026/02/14/Wonder_Horizontal.jpg,2026-02-14T08:14:20Z,"Hong Kong (ANTARA/PRNewswire)- Wonder, a leading fintech and payments platform for merchants in Hong Kong and Asia Pacific, today announced it has raised a USD 12 million venture debt from HSBC Innov… [+3395 chars]"
"{'id': 'rte', 'name': 'RTE'}",Tony Connelly,Hurry up and wait: The struggle to boost Europe's economy,"When it comes to removing barriers to the internal market the results are, indeed, mixed, writes Europe Editor Tony Connelly.",https://www.rte.ie/news/analysis-and-comment/2026/0214/1558424-european-economy/,https://www.rte.ie/images/001847d6-1600.jpg,2026-02-14T07:00:00Z,"""For the first time since the Cold War, we must genuinely fear for our self-preservation and the reason for a unified response has never been so compelling.""
Those were the words of Italian former p… [+15819 chars]"
"{'id': None, 'name': 'Hurriyet Daily News'}",hurriyetdailynews.com,Crowds flock to Istanbul's Museum of Innocence before TV adaptation,"On a cobbled street in Çukurcuma, a district known for its antiques shops on Istanbul's European side, the story penned by Nobel laureate Orhan Pamuk in his bestselling novel ""The Museum of Innocence"" has been brought to life.",https://www.hurriyetdailynews.com/crowds-flock-to-istanbuls-museum-of-innocence-before-tv-adaptation-218934,https://image.hurimg.com/i/hurriyet/75/200x200/699014f96f6cd860eed44ae7.jpg,2026-02-14T06:23:58Z,"ISTANBUL
Visitors look at the display cases in The Museum of Innocence in Istanbul.
On a cobbled street in Çukurcuma, a district known for its antiques shops on Istanbul's European side, the story … [+2250 chars]"
"{'id': 'the-irish-times', 'name': 'The Irish Times'}","Laura Slattery, Colm Keena",The shrinking of RTÉ: ‘It feels like an increasingly neutered organisation’,"‘We’re not cutting the Six One or anything’ says director general Kevin Bakhurst, as some staff talk about the emergence of ‘two RTÉs’ and fear for the future",https://www.irishtimes.com/culture/2026/02/14/the-shrinking-of-rte-it-feels-like-an-increasingly-neutered-organisation/,https://www.irishtimes.com/resizer/v2/HWNOMHZ6IBF7TJTVCPRGOAWQS4.jpg?smart=true&auth=ac7a0a289afaccf8252cf6fb779a7b5331c4ce69b87d8a6a70b5e6edfddf8aff&width=1200&height=630,2026-02-14T06:00:00Z,"At RTÉs Montrose campus, the mood is brittle. After a spate of leaving parties for the 67 employees who accepted a voluntary exit offer late last year, 2026 so far has been dogged by the dread that o… [+17097 chars]"
"{'id': None, 'name': 'Yahoo Entertainment'}",Parshwa Turakhiya,"'XRP Is The North Star,' Says Ripple CEO After $4B In Acquisitions In 2025","Ripple CEO Brad Garlinghouse said the company might pursue acquisitions in the second half of 2026 after spending $4 billion on M&A last year, even as XRP...",https://finance.yahoo.com/news/xrp-north-star-says-ripple-033145036.html,https://s.yimg.com/os/en/benzinga_79/12e991bc78af9e218957e0ec64786f04,2026-02-14T03:31:45Z,"Benzinga and Yahoo Finance LLC may earn commission or revenue on some items through the links below.
Ripple CEO Brad Garlinghouse said the company might pursue acquisitions in the second half of 202… [+8539 chars]"
"{'id': None, 'name': 'Livemint'}",Swastika Das Sharma,"Bank holiday today: Are banks open or closed on Saturday, 14 February? Check RBI calendar","Bank holiday today, 14 February: Bank holiday on Saturday is designated as a holiday under the Negotiable Instruments Act by the RBI. This bank holiday regulates the issuing of cheques and promissory notes.",https://www.livemint.com/industry/banking/bank-holiday-today-are-banks-open-or-closed-on-saturday-14-february-check-rbi-calendar-11771031680963.html,https://www.livemint.com/lm-img/img/2026/02/14/1600x900/logo/INDIA-SBI-CHAIRMAN-10_1770295318458_1770295339093_1771034434233.jpg,2026-02-14T02:04:04Z,"Bank holiday today, 14 January: Bank holidays can come in the way of several financial planning decisions for many customers if they do not keep a tab of which days banks will be closed. The RBI bank… [+3364 chars]"
"{'id': None, 'name': 'Bitcoinist'}",Christian Encila,Crypto’s Dark Side: Funds To Suspected Human Traffickers Climb 85% In 2025,"Crypto transfers tied to suspected human trafficking networks surged 85% year over year in 2025, according to Chainalysis. Related Reading: Bitcoin’s Fall Forces Crypto Lender BlockFills To Halt Withdrawals – Here’s Why Reports say the total volume reached hu…",https://bitcoinist.com/cryptos-dark-side-funds-to-suspected-human-traffickers-climb-85-in-2025/,https://bitcoinist.com/wp-content/uploads/2026/02/a_d7f8cd.jpg,2026-02-14T00:30:14Z,"Crypto transfers tied to suspected human trafficking networks surged 85% year over year in 2025, according to Chainalysis.
Reports say the total volume reached hundreds of millions of dollars across… [+3141 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Tanya Pandey,Digital arrest victims may be going under cover,"Banks and insurers are in early talks to design an insurance product to cover victims of digital arrest scams, potentially making India the first country with such fraud coverage. The government has formed an interdepartmental committee to support tools like …",https://economictimes.indiatimes.com/tech/technology/digital-arrest-victims-may-be-going-under-cover/articleshow/128319770.cms,"https://img.etimg.com/thumb/width-1200,height-900,imgsize-1430870,resizemode-75,msid-128319770/tech/technology/digital-arrest-victims-may-be-going-under-cover.jpg",2026-02-14T00:30:00Z,"Banks and insurers are in early talks to design an insurance product that could cover victims of digital arrest scams, said people with knowledge of the matter. If implemented, India would become the… [+4404 chars]"
"{'id': 'fox-news', 'name': 'Fox News'}",,"Woman owes $3,556 for cruise she already paid for after falling victim to elaborate Zelle scam","Family banned for life from cruises after paying $3,556 through Zelle to fake consultant who used stolen credit card. Now she owes double the amount.",https://www.foxnews.com/tech/woman-owes-3556-cruise-she-already-paid-after-falling-victim-elaborate-zelle-scam,https://static.foxnews.com/foxnews.com/content/uploads/2026/02/man-overboard-in-hawaii.jpg,2026-02-13T23:55:11Z,"A family vacation turned into a five-year nightmare. And it started with one payment.
L. Williams found a cruise consultant online who booked her family a week on Carnival Freedom. Great price. One … [+3308 chars]"
"{'id': None, 'name': 'Techdirt'}",Tori Noble,Copyright Kills Competition,"Copyright owners increasingly claim more draconian copyright law and policy will fight back against big tech companies. In reality, copyright gives the most powerful companies even more control over creators and competitors. Today’s copyright policy concentra…",https://www.techdirt.com/2026/02/13/copyright-kills-competition/,https://www.techdirt.com/wp-content/themes/techdirt/assets/images/td-rect-logo-white.png,2026-02-13T23:28:00Z,"from the copyright-reform-is-antitrust dept
Copyright owners increasingly claim more draconian copyright law and policy will fight back against big tech companies. In reality, copyright gives the mo… [+5124 chars]"
"{'id': None, 'name': 'pymnts.com'}",PYMNTS,Crypto Advocates Urge UK’s FCA to Narrow Regulatory Scope,"The DeFi Education Fund (DEF), a Washington, D.C.-based advocacy group, is urging the United Kingdom’s Financial Conduct Authority (FCA) to limit its upcoming cryptocurrency regulations to entities that have unilateral control over user funds or transactions,…",https://www.pymnts.com/news/regulation/2026/crypto-advocates-urge-united-kingdom-fca-narrow-regulatory-scope/,https://www.pymnts.com/wp-content/uploads/2025/05/cryptocurrency-bitcoin-blockchain.jpg,2026-02-13T23:01:23Z,"The DeFi Education Fund (DEF), a Washington, D.C.-based advocacy group, is urging the United Kingdoms Financial Conduct Authority (FCA) to limit its upcoming cryptocurrency regulations to entities th… [+2268 chars]"
"{'id': 'cbc-news', 'name': 'CBC News'}",,Company that received Skills Development Fund money launches countersues Ontario,"A mental health company being sued by the Ontario government over alleged fraudulent misrepresentation has filed a statement of defence and a counterclaim against the province, alleging it has damaged the company's reputation.",https://www.cbc.ca/news/canada/toronto/keel-suing-ontario-skills-development-fund-9.7089356,"https://i.cbc.ca/ais/1.3473008,1456946822000/full/max/0/default.jpg?im=Crop%2Crect%3D%280%2C0%2C3263%2C1835%29%3BResize%3D620",2026-02-13T21:37:51Z,"A mental health company being sued by the Ontario government over alleged fraudulent misrepresentation has filed a statement of defence and a counterclaim against the province, alleging it has damage… [+2045 chars]"
"{'id': None, 'name': 'Japan Today'}",,Japan digital payment app PayPay files for U.S. listing,"PayPay Corp, the Japanese provider of a popular digital payment app, has publicly filed for an initial public offering in the United States, the company said Friday, aiming to be listed on the Nasdaq stock exchange as early as March. The company filed a regis…",https://japantoday.com/category/business/japan-digital-payment-app-paypay-files-for-u.s.-listing,,2026-02-13T21:07:55Z,"PayPay Corp, the Japanese provider of a popular digital payment app, has publicly filed for an initial public offering in the United States, the company said Friday, aiming to be listed on the Nasdaq… [+1621 chars]"
